CNTY_NAME,MCD_NAME,CTV,ASM,SEN,CON,STR_WARDS,PERSONS18,WHITE18,BLACK18,HISPANIC18,ASIAN18,AMINDIAN18,PISLAND18,OTHER18,OTHERMLT18,PRETOT16
Milwaukee,Milwaukee,C,12,4,4,0037,1721.0,323.0,1273.0,53.0,40.0,17.0,1.0,0.0,14.0,738.0
Milwaukee,Milwaukee,C,12,4,4,0038,977.0,194.0,724.0,33.0,10.0,10.0,0.0,1.0,5.0,592.0
Milwaukee,Milwaukee,C,12,4,4,0039,1086.0,447.0,529.0,25.0,70.0,6.0,2.0,2.0,5.0,688.0
Milwaukee,Milwaukee,C,12,4,4,0040,1205.0,246.0,857.0,42.0,42.0,5.0,0.0,4.0,9.0,660.0
Milwaukee,Milwaukee,C,11,4,4,0041,1139.0,299.0,756.0,41.0,34.0,1.0,0.0,1.0,7.0,648.0
Milwaukee,Milwaukee,C,12,4,4,0042,1340.0,338.0,870.0,50.0,64.0,9.0,0.0,2.0,7.0,864.0
Milwaukee,Milwaukee,C,11,4,4,0043,848.0,100.0,703.0,17.0,19.0,3.0,0.0,0.0,6.0,492.0
Milwaukee,Milwaukee,C,17,6,4,0044,1301.0,288.0,890.0,56.0,52.0,5.0,0.0,0.0,10.0,899.0
Milwaukee,Milwaukee,C,11,4,4,0045,1567.0,259.0,1133.0,50.0,93.0,15.0,0.0,3.0,14.0,906.0
Milwaukee,Milwaukee,C,11,4,4,0046,794.0,106.0,611.0,43.0,27.0,3.0,0.0,1.0,3.0,477.0
Milwaukee,Milwaukee,C,11,4,4,0047,1549.0,242.0,1186.0,58.0,43.0,5.0,1.0,3.0,11.0,901.0
Milwaukee,Milwaukee,C,11,4,4,0048,740.0,183.0,494.0,24.0,33.0,4.0,0.0,0.0,2.0,434.0
Milwaukee,Milwaukee,C,11,4,4,0049,914.0,140.0,725.0,38.0,1.0,6.0,0.0,0.0,4.0,621.0
Milwaukee,Milwaukee,C,11,4,4,0050,903.0,97.0,752.0,31.0,12.0,7.0,1.0,1.0,2.0,577.0
Milwaukee,Milwaukee,C,11,4,4,0051,1063.0,67.0,950.0,31.0,0.0,5.0,4.0,1.0,5.0,568.0
Milwaukee,Milwaukee,C,11,4,4,0052,1440.0,181.0,1192.0,44.0,1.0,9.0,1.0,4.0,8.0,799.0
Milwaukee,Milwaukee,C,11,4,4,0053,714.0,88.0,591.0,23.0,2.0,2.0,1.0,0.0,7.0,357.0
Milwaukee,Milwaukee,C,10,4,4,0054,732.0,61.0,641.0,18.0,8.0,0.0,0.0,0.0,4.0,459.0
Milwaukee,Milwaukee,C,10,4,4,0055,1715.0,554.0,1044.0,71.0,23.0,13.0,0.0,3.0,7.0,1033.0
Milwaukee,Milwaukee,C,10,4,4,0056,964.0,35.0,900.0,18.0,1.0,2.0,0.0,1.0,7.0,639.0
Milwaukee,Milwaukee,C,10,4,4,0057,1372.0,60.0,1265.0,34.0,2.0,4.0,1.0,0.0,6.0,864.0
Milwaukee,Milwaukee,C,10,4,4,0058,989.0,55.0,899.0,22.0,5.0,1.0,0.0,1.0,6.0,637.0
Milwaukee,Milwaukee,C,10,4,4,0059,1794.0,38.0,1712.0,35.0,1.0,2.0,0.0,1.0,5.0,1239.0
Milwaukee,Milwaukee,C,10,4,4,0060,1363.0,37.0,1283.0,19.0,3.0,4.0,0.0,0.0,17.0,883.0
Milwaukee,Milwaukee,C,10,4,4,0061,1165.0,31.0,1099.0,21.0,0.0,3.0,0.0,1.0,10.0,763.0
Milwaukee,Milwaukee,C,10,4,4,0062,1113.0,42.0,1038.0,18.0,1.0,3.0,0.0,0.0,11.0,589.0
Milwaukee,Milwaukee,C,10,4,4,0063,1051.0,26.0,989.0,15.0,10.0,0.0,0.0,2.0,9.0,564.0
Milwaukee,Milwaukee,C,17,6,4,0064,2005.0,162.0,1759.0,49.0,14.0,7.0,0.0,3.0,11.0,1274.0
Milwaukee,Milwaukee,C,17,6,4,0065,1431.0,89.0,1295.0,30.0,10.0,4.0,0.0,0.0,3.0,1021.0
Milwaukee,Milwaukee,C,17,6,4,0066,910.0,28.0,852.0,11.0,3.0,3.0,0.0,0.0,13.0,676.0
Milwaukee,Milwaukee,C,17,6,4,0067,924.0,116.0,766.0,25.0,10.0,2.0,1.0,0.0,4.0,546.0
Milwaukee,Milwaukee,C,17,6,4,0068,1619.0,236.0,1198.0,66.0,99.0,17.0,0.0,0.0,3.0,1087.0
Milwaukee,Milwaukee,C,17,6,4,0069,1295.0,174.0,1056.0,31.0,17.0,5.0,0.0,2.0,10.0,831.0
Milwaukee,Milwaukee,C,17,6,4,0070,1640.0,224.0,1276.0,66.0,47.0,6.0,0.0,4.0,17.0,1174.0
Milwaukee,Milwaukee,C,17,6,4,0071,963.0,146.0,711.0,21.0,78.0,5.0,0.0,0.0,2.0,635.0
Milwaukee,Milwaukee,C,17,6,4,0072,1298.0,234.0,904.0,31.0,112.0,4.0,1.0,0.0,12.0,898.0
Milwaukee,Milwaukee,C,17,6,4,0073,1469.0,328.0,938.0,41.0,149.0,6.0,0.0,1.0,6.0,994.0
Milwaukee,Milwaukee,C,17,6,4,0074,879.0,182.0,605.0,37.0,46.0,4.0,1.0,0.0,4.0,638.0
